Year,East Coast,Midwest,Gulf Coast,Rocky Mountain,West Coast
1993,1.0516153846153842,1.0475641025641027,1.0669230769230766,1.1361282051282051,1.1695384615384616
1994,1.0613076923076923,1.0580000000000003,1.059884615384615,1.1407884615384611,1.1773461538461538
1995,1.1763653846153845,1.109980769230769,1.1591923076923074,1.1787115384615383,1.2510192307692305
1996,1.2426037735849058,1.2146037735849053,1.2272830188679245,1.275490566037736,1.3601132075471698
1997,1.2496730769230773,1.205403846153846,1.2173076923076922,1.2982500000000003,1.3752307692307695
1998,1.0604999999999998,1.0465769230769233,1.0321538461538462,1.1362307692307694,1.1991923076923072
1999,1.148153846153846,1.1425192307692307,1.119788461538462,1.2451153846153848,1.3742307692307691
2000,1.5075000000000003,1.5042115384615384,1.4564807692307689,1.5543076923076926,1.673923076923077
2001,1.4303207547169812,1.447320754716981,1.3711509433962255,1.4898490566037736,1.626245283018868
2002,1.3720384615384615,1.364846153846154,1.318846153846154,1.396307692307692,1.5069230769230777
2003,1.587807692307693,1.5482307692307695,1.4997499999999997,1.6091730769230768,1.8197884615384614
2004,1.8919038461538464,1.8311923076923076,1.7888846153846154,1.8879038461538462,2.109596153846153
2005,2.3257499999999998,2.2479615384615386,2.2349999999999994,2.3062884615384616,2.4795000000000007
2006,2.631,2.5473461538461537,2.523557692307693,2.59851923076923,2.8037692307692312
2007,2.8231698113207546,2.8156603773584896,2.717188679245282,2.8418679245283025,3.053150943396226
2008,3.3160576923076928,3.2246346153846144,3.188096153846155,3.2620961538461546,3.4984423076923084
2009,2.3986346153846143,2.3422115384615383,2.2798076923076924,2.332634615384615,2.6617884615384617
2010,2.8242307692307693,2.7787307692307697,2.7020384615384616,2.8152692307692315,3.0829230769230773
2011,3.5871923076923085,3.532038461538462,3.4232307692307695,3.4647500000000013,3.7920961538461544
2012,3.6946415094339606,3.6052641509433965,3.479377358490567,3.551811320754717,3.984207547169811
2013,3.5986538461538453,3.515423076923077,3.3736730769230765,3.4807884615384603,3.8314615384615394
2014,3.4696153846153837,3.360269230769232,3.2164807692307695,3.393557692307692,3.7064615384615385
2015,2.482903846153846,2.4106923076923077,2.256173076923077,2.4811730769230773,3.0416153846153837
2016,2.2515769230769225,2.143346153846154,2.0235,2.2119038461538456,2.646442307692307
2017,2.533211538461538,2.405423076923076,2.2948076923076925,2.4982884615384626,2.9480961538461536
2018,2.768339622641509,2.666849056603774,2.532283018867924,2.866641509433962,3.377962264150944
2019,2.5890961538461545,2.5406538461538455,2.3528461538461536,2.7362884615384604,3.4273269230769228
2020,2.19948076923077,2.085019230769231,1.9244423076923072,2.348,2.914653846153847
2021,2.9492,2.906622222222221,2.717933333333334,3.2397111111111108,3.7294444444444443
